author,edition_year,name,price,publisher,ratings
[美] 卡勒德·胡赛尼,2006-5,追风筝的人,29.00元,上海人民出版社,8.9
[日] 东野圭吾,2014-5,解忧杂货店,39.50元,南海出版公司,8.5
[法] 圣埃克苏佩里,2003-8,小王子,22.00元,人民文学出版社,9.0
[日] 东野圭吾,2008-9,白夜行,29.80元,南海出版公司,9.1
钱锺书,1991-2,围城,19.00,人民文学出版社,8.9
刘慈欣,2008-1,三体,23.00,重庆出版社,8.8
[日] 东野圭吾,2008-9,嫌疑人X的献身,28.00,南海出版公司,8.9
余华,2012-8-1,活着,20.00元,作家出版社,9.3
[日] 村上春树,2001-2,挪威的森林,18.80元,上海译文出版社,8.0
[哥伦比亚] 加西亚·马尔克斯,2011-6,百年孤独,39.50元,南海出版公司,9.2
[清] 曹雪芹 著,1996-12,红楼梦,59.70元,人民文学出版社,9.6
柴静,2013-1-1,看见,39.80元,广西师范大学出版社,8.8
路遥,2005-1,平凡的世界（全三部）,64.00元,人民文学出版社,9.0
刘慈欣,2008-5,三体Ⅱ,32.00,重庆出版社,9.3
刘慈欣,2010-11,三体Ⅲ,38.00元,重庆出版社,9.2
[捷克] 米兰·昆德拉,2003-7,不能承受的生命之轻,23.00元,上海译文出版社,8.5
[美] 丹·布朗,2004-2,达·芬奇密码,28.00元,上海人民出版社,8.2
杨绛,2003-7,我们仨,18.80元,生活·读书·新知三联书店,8.7
高铭,2010-2,天才在左 疯子在右,29.80元,武汉大学出版社,8.1
[英] 夏洛蒂·勃朗特,2003-11,简爱（英文全本）,18.00元,世界图书出版公司,8.5
[英] J. K. 罗琳,2000-9,哈利·波特与魔法石,19.50元,人民文学出版社,9.0
当年明月,2006-9,明朝那些事儿（壹）,24.80,中国友谊出版公司,8.7
[英] 奥斯丁,1993-7,傲慢与偏见,13.00元,人民文学出版社,8.8
龙应台,2009-10,目送,39.00元,生活·读书·新知三联书店,8.7
[日] 东野圭吾,2009-6,恶意,18.00,南海出版公司,8.4
三毛,1976,撒哈拉的故事,160 TWD,皇冠出版社,9.0
[哥伦比亚] 加西亚·马尔克斯,2012-9-1,霍乱时期的爱情,39.50元,南海出版公司,9.0
余华,1998-9,许三观卖血记,16.80元,南海出版公司,8.7
[美国] 玛格丽特·米切尔,2000-9,飘,40.00元,译林出版社,9.3
沈从文,2002-4,边城,12.00元,北岳文艺出版社,8.6
,1997-3-1,倾城之恋,11.00,花城出版社,8.5
刘瑜,2010-1,送你一颗子弹,25.00元,上海三联书店,8.6
姜戎,2004-4,狼图腾,32.00元,长江文艺出版社,8.2
[英] J. K. 罗琳,2000-9,哈利·波特与阿兹卡班的囚徒,26.50元,人民文学出版社,9.0
南派三叔,2007-1,盗墓笔记,26.80元,中国友谊出版公司,8.3
[英] J. K. 罗琳,2001-5,哈利·波特与火焰杯,39.80元,人民文学出版社,9.0
[法] 玛格丽特·杜拉斯,2005-7,情人,20.00元,上海译文出版社,8.1
[英] J. K. 罗琳,2000-9,哈利·波特与密室,22.00元,人民文学出版社,8.9
太宰治,2009年9月,人间失格,16.00元,吉林出版集团有限责任公司,8.3
[美] 黄仁宇,1997-5,万历十五年,18.00元,生活·读书·新知三联书店,8.9
霍达,1988-12-1,穆斯林的葬礼,32.00,北京十月文艺出版社,8.1
[日] 黑柳彻子 著,2003-1,窗边的小豆豆,20.00元,南海出版公司,8.7
海明威,1999-10,老人与海,8.20元,上海译文出版社,8.4
[日] 村上春树,2010-5,1Q84 BOOK 1,36.00元,南海出版公司,8.3
[英] 乔治·奥威尔,2010-4-1,1984,28.00,北京十月文艺出版社,9.3
王小波,1999-3,黄金时代,19.00元,花城出版社,8.8
[英] J. K. 罗琳,2005-10,哈利·波特与混血王子,58.00元,人民文学出版社,8.8
[以色列] 尤瓦尔·赫拉利,2014-11,人类简史,CNY 68.00,中信出版社,9.1
[明] 罗贯中,1998-05,三国演义（全二册）,39.50元,人民文学出版社,9.2
幾米,2002-8,向左走·向右走,16.00元,生活·读书·新知三联书店,8.4
[英] J. K. 罗琳,2003-9,哈利·波特与凤凰社,59.00元,人民文学出版社,8.7
今何在,2001-4,悟空传,14.80元,光明日报出版社,8.3
[巴西]保罗·柯艾略,2009-3-1,牧羊少年奇幻之旅,25.00元,南海出版公司,8.6
（挪威）乔斯坦·贾德,1999-04,苏菲的世界,26.80元,作家出版社,8.5
林奕含,2018-1,房思琪的初恋乐园,45.00元,北京联合出版公司,9.2
[英] 笛福,2002-1,鲁滨逊漂流记,9.20元,广西民族出版社,8.0
金庸,1994-5,天龙八部,96.0,生活.读书.新知三联书店,9.1
[英] J. K. 罗琳,2007-10,哈利·波特与死亡圣器,66.00元,人民文学出版社,9.0
安妮宝贝,2006-3,莲花,25.00元,作家出版社,8.0
[美] 伍绮诗,2015-7,无声告白,35.00元,江苏凤凰文艺出版社,8.2
（英）勃朗特,1999-01-01,呼啸山庄,27.30元,人民文学出版社,8.4
龙应台,2008-12,亲爱的安德烈,26.00,人民文学出版社,8.7
大仲马,1991-12-1,基督山伯爵,43.90元,上海译文出版社,9.0
陈忠实,1997-12,白鹿原,28.00元,人民文学出版社,8.7
老舍,2000-3-1,骆驼祥子,12.00,人民文学出版社,8.3
[法] 阿尔贝·加缪,2010-8,局外人,22.00元,上海译文出版社,9.0
[美] 卡勒德·胡赛尼,2007-9,灿烂千阳,28.00元,上海人民出版社,8.8
小仲马,1997-3,茶花女,9.00元,外国文学出版社,8.2
[日] 村上春树,2003-4,海边的卡夫卡,25.00元,上海译文出版社,8.1
[奥] 斯台芬·茨威格,2007-7,一个陌生女人的来信,20.00元,上海译文出版社,8.7
金庸,1994-5,笑傲江湖（全四册）,76.80元,生活·读书·新知三联书店,9.0
[英] 阿·柯南道尔,1981-8,福尔摩斯探案全集（上中下）,53.00元/68.00元,群众出版社,9.2
王小波,1997-10,沉默的大多数,27.00元,中国青年出版社,9.1
余华,2005-8,兄弟（上）,16.00元,上海文艺出版社,8.3
[美] M·斯科特·派克,2007-1,少有人走的路,26.00元,吉林文史出版社,8.4
菲茨杰拉德,2004-06,了不起的盖茨比,12.00元,人民文学出版社,8.3
[英] 阿加莎·克里斯蒂,2006-5,东方快车谋杀案,18.00元,人民文学出版社,9.0
[日] 岩井俊二,2004-7,情书,18.00元,天津人民出版社,8.6
[英] 阿加莎・克里斯蒂,2008-3,无人生还,19.00,人民文学出版社,8.9
金庸,1994-5,神雕侠侣,76.80元,生活·读书·新知三联书店,8.9
[法]雨果,1982-6,巴黎圣母院,22.50元,人民文学出版社,8.3
[英] 威廉·萨默塞特·毛姆,2017-1-1,月亮与六便士,39.80元,浙江文艺出版社,8.8
刘瑜,2009-6,民主的细节,25.00,上海三联书店,8.6
[美] 斯蒂芬·金,2006-7,肖申克的救赎,29.90元,人民文学出版社,9.1
（法）莫泊桑,2007-6,羊脂球,13.50元,北京燕山出版社,8.1
鲁迅,1973年3月,呐喊,0.36元,人民文学出版社,8.9
（法）勒庞,2011-5-1,乌合之众,16.00元,中央编译出版社,8.2
张德芬,2008-1,遇见未知的自己,29.00,华夏出版社,8.0
[英] 乔治·奥威尔,2007-3,动物农场,10.00元,上海译文出版社,9.2
王小波,2008-5,爱你就像爱生命,18.00元,上海锦绣文章出版社,8.8
[日] 村上春树,2009-1,当我谈跑步时我谈些什么,25.00,南海出版公司,8.2
（丹麦）安徒生,1997-08,安徒生童话故事集,25.00,人民文学出版社,9.2
张爱玲,1996-06,红玫瑰与白玫瑰,12.80元,花城出版社,8.4
[英] 肯·福莱特,2016-5-1,巨人的陨落,129.80元,江苏凤凰文艺出版社,8.9
天下霸唱,2006,鬼吹灯之精绝古城,25.00元,安徽文艺出版社,8.1
林海音 文,2003-7,城南旧事,16.00元,中国青年出版社,9.0
乔一,2015-5-1,我不喜欢这世界，我只喜欢你,29.80元,湖南少年儿童出版社,8.0
文：安东尼,2010-3,这些都是你给我的爱,24.80元,长江文艺出版社,8.4
